SB,PLAYER,POSITION,TEAM
I (1),Bart Starr,QB,Green Bay
II (2),Bart Starr,QB,Green Bay
III (3),Joe Namath,QB,New York Jets
IV (4),Len Dawson,QB,Kansas City
V (5),Chuck Howley,LB,Dallas
VI (6),Roger Staubach,QB,Dallas
VII (7),Jake Scott,S,Miami
VIII (8),Larry Csonka,FB,Miami
IX (9),Franco Harris,RB,Pittsburgh
X (10),Lynn Swann,WR,Pittsburgh
XI (11),Fred Biletnikoff,WR,Oakland
XII (12),Harvey Martin & Randy White,DL,Dallas
XIII (13),Terry Bradshaw,QB,Pittsburgh
XIV (14),Terry Bradshaw,QB,Pittsburgh
XV (15),Jim Plunkett,QB,Oakland
XVI (16),Joe Montana,QB,San Francisco
XVII (17),John Riggins,RB,Washington
XVIII (18),Marcus Allen,RB,Los Angeles Raiders
XIX (19),Joe Montana,QB,San Francisco
XX (20),Richard Dent,DE,Chicago
XXI (21),Phil Simms,QB,New York Giants
XXII (22),Doug Williams,QB,Washington
XXIII (23),Jerry Rice,WR,San Francisco
XXIV (24),Joe Montana,QB,San Francisco
XXV (25),Ottis Anderson,RB,New York Giants
XXVI (26),Mark Rypien,QB,Washington
XXVII (27),Troy Aikman,QB,Dallas
XXVIII (28),Emmitt Smith,RB,Dallas
XXIX (29),Steve Young,QB,San Francisco
XXX (30),Larry Brown,CB,Dallas
XXXI (31),Desmond Howard,KR,Green Bay
XXXII (32),Terrell Davis,RB,Denver
XXXIII (33),John Elway,QB,Denver
XXXIV (34),Kurt Warner,QB,St. Louis
XXXV (35),Ray Lewis,LB,Baltimore
XXXVI (36),Tom Brady,QB,New England
XXXVII (37),Dexter Jackson,CB,Tampa Bay
XXXVIII (38),Tom Brady,QB,New England
XXXIX (39),Deion Branch,WR,New England
XL (40),Hines Ward,WR,Pittsburgh
XLI (41),Peyton Manning,QB,Indianapolis
XLII (42),Eli Manning,QB,New York Giants
XLIII (43),Santonio Holmes,WR,Pittsburgh
XLIV (44),Drew Brees,QB,New Orleans
XLV (45),Aaron Rodgers,QB,Green Bay
XLVI (46),Eli Manning,QB,New York Giants
XLVII (47),Joe Flacco,QB,Baltimore
XLVIII (48),Malcolm Smith,LB,Seattle
XLIX (49),Tom Brady,QB,New England
50,Von Miller,LB,Denver
LI (51),Tom Brady,QB,New England
LII (52),Nick Foles,QB,Philadelphia
LIII (53),Julian Edelman,WR,New England
LIV (54),Patrick Mahomes,QB,Kansas City
